2018-02-12 15:25:43.828069|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2018-02-12 15:27:22.364343|INFO    |VirtualServer |1  |client (id:29) was removed from servergroup 'All perm's'(id:26) by client 'Louis'(id:2)
2018-02-12 15:27:28.228078|INFO    |VirtualServer |1  |client (id:29) was removed from servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:27:36.990258|INFO    |VirtualServer |1  |servergroup 'Tigrounette'(id:31) was deleted by 'Louis'(id:2)
2018-02-12 15:27:54.535551|INFO    |VirtualServer |1  |client (id:29) was removed from servergroup '----- Grade Permission -----'(id:23) by client 'Louis'(id:2)
2018-02-12 15:28:15.526724|INFO    |VirtualServer |1  |servergroup 'Men of MaRiJuAnA'(id:27) was deleted by 'Louis'(id:2)
2018-02-12 15:28:18.909119|INFO    |VirtualServer |1  |servergroup 'Drogué'(id:14) was deleted by 'Louis'(id:2)
2018-02-12 15:28:23.448418|INFO    |VirtualServer |1  |client (id:30) was removed from servergroup 'Amis'(id:32) by client 'Louis'(id:2)
2018-02-12 15:28:24.708725|INFO    |VirtualServer |1  |client (id:32) was removed from servergroup 'Amis'(id:32) by client 'Louis'(id:2)
2018-02-12 15:28:26.337094|INFO    |VirtualServer |1  |client (id:31) was removed from servergroup 'Amis'(id:32) by client 'Louis'(id:2)
2018-02-12 15:28:28.737303|INFO    |VirtualServer |1  |client (id:31) was removed from servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:29.753221|INFO    |VirtualServer |1  |client (id:32) was removed from servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:33.296655|INFO    |VirtualServer |1  |client (id:6) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:35.791905|INFO    |VirtualServer |1  |client (id:12) was added to servergroup 'All perm's'(id:26) by client 'Louis'(id:2)
2018-02-12 15:28:38.697928|INFO    |VirtualServer |1  |client (id:8) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:41.515197|INFO    |VirtualServer |1  |client (id:5) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:44.297840|INFO    |VirtualServer |1  |client (id:10) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:46.957533|INFO    |VirtualServer |1  |client (id:14) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:53.995285|INFO    |VirtualServer |1  |client (id:21) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:28:59.329542|INFO    |VirtualServer |1  |client (id:12) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:29:03.044384|INFO    |VirtualServer |1  |client (id:12) was removed from servergroup 'All perm's'(id:26) by client 'Louis'(id:2)
2018-02-12 15:29:10.129887|INFO    |VirtualServer |1  |client (id:24) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:29:13.063663|INFO    |VirtualServer |1  |client (id:22) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
2018-02-12 15:29:15.782025|INFO    |VirtualServer |1  |client (id:23) was added to servergroup '----- Grade Fun -----'(id:24) by client 'Louis'(id:2)
